Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-01,0.22,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.2,0.2,0.21,0.24,0.2,0.22,0.22,0.21,0.16,0.16,0.16,0.16,0.17,0.2,0.16,0.18
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-02,0.17,0.15,0.16,0.12,0.15,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.14,0.14,0.15,0.14,0.15,0.16,0.16,0.16,0.16,0.16,0.18,0.19
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-03,0.18,0.18,0.18,0.17,0.16,0.16,0.15,0.15,0.17,0.17,0.15,0.13,0.14,0.14,0.14,0.15,0.17,0.24,0.16,0.15,0.17,0.16,0.16,0.14
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-04,0.13,0.12,0.12,0.13,0.13,0.13,0.13,0.14,0.14,0.13,0.12,0.14,0.14,0.14,0.14,0.16,0.21,0.19,0.17,0.18,0.17,0.17,0.16,0.17
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-05,0.15,0.15,0.13,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.14,0.12,0.14,0.13,0.13,0.16,0.22,0.22,0.19,0.19,0.16,0.15,0.15,0.15
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-06,0.15,0.13,0.12,0.12,0.14,0.15,0.22,0.22,0.33,0.38,0.3,0.27,0.25,0.17,0.15,0.21,0.21,0.26,0.31,0.28,0.27,0.3,0.24,0.19
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-07,0.19,0.19,0.17,0.21,0.14,0.13,0.12,0.14,0.15,0.17,0.15,0.15,0.21,0.16,0.16,0.17,0.23,0.19,0.25,0.19,0.19,0.41,0.23,0.21
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-08,0.2,0.25,0.21,0.21,0.21,0.2,0.2,0.19,0.21,0.21,0.19,0.16,0.15,0.15,0.15,0.17,0.17,0.18,0.2,0.24,0.25,0.21,0.4,0.15
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-09,0.13,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.19,0.18,0.15,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12
CO,10102,St. John's,NL,47.56038,-52.71147,2023-01-10,0.12,0.11,0.12,0.12,0.12,0.12,0.13,0.12,0.13,0.14,0.14,0.15,0.14,0.18,0.13,0.13,0.15,0.16,0.16,0.16,0.19,0.23,0.2,0.2
