Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-01,42,19,14,14,14,15,14,14,13,13,13,15,14,15,15,13,9,9,9,7,9,9,9,6
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-02,5,8,13,3,2,5,8,10,10,7,9,10,9,11,12,11,10,10,10,9,9,8,10,10
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-03,9,11,13,11,10,7,4,5,7,7,6,7,16,15,15,15,16,20,12,9,13,10,9,8
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-04,9,8,8,10,11,13,11,12,12,10,9,9,10,13,12,12,11,11,11,9,7,6,8,7
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-05,8,8,8,6,5,6,9,18,34,38,49,65,57,45,39,47,91,85,62,56,41,25,24,17
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-06,18,17,12,15,13,14,32,38,84,126,81,57,48,39,19,17,24,21,25,32,20,18,13,10
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-07,10,10,10,11,11,11,13,13,13,12,15,16,26,17,13,15,17,27,28,31,28,24,20,18
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-08,13,20,17,20,19,18,18,17,16,19,17,20,26,31,29,26,22,19,20,16,15,15,18,9
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-09,8,9,8,7,5,5,6,9,12,16,12,16,16,20,17,20,19,16,14,13,11,11,10,10
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-10,10,10,10,11,13,19,17,20,14,13,15,13,11,11,10,10,10,11,12,15,21,26,28,25
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-11,24,21,17,16,18,17,16,20,43,44,22,13,10,11,9,8,9,10,9,10,11,7,8,9
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-12,10,8,8,9,9,8,10,9,9,7,6,7,8,8,9,9,9,15,21,20,24,25,27,21
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-13,21,21,21,18,20,17,13,9,14,16,12,7,8,9,8,8,9,9,9,11,13,17,18,17
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-14,17,20,19,12,4,5,10,11,10,15,17,16,16,17,19,19,20,19,19,17,18,19,13,13
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-15,14,12,11,8,11,8,12,15,15,12,8,4,3,7,7,7,8,9,10,15,17,18,18,19
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-16,22,21,18,14,12,12,9,9,9,10,10,11,-999,12,13,12,17,14,11,13,13,9,10,8
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-17,5,2,1,1,1,2,3,2,2,5,9,-999,-999,19,17,17,14,10,5,8,11,14,16,10
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-18,12,16,16,14,14,11,4,2,2,2,2,8,8,10,8,7,9,6,8,8,8,9,10,19
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-19,7,5,2,1,1,1,2,3,3,4,5,6,9,12,12,9,8,6,10,8,6,6,6,5
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-20,4,4,6,7,7,6,7,9,12,25,35,47,56,59,61,65,65,65,64,61,54,41,21,14
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-21,10,9,9,10,11,10,12,14,14,13,14,17,18,18,9,7,9,13,15,15,17,19,19,16
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-22,13,13,13,17,20,25,24,22,18,16,16,17,15,13,12,10,10,8,9,11,12,9,8,9
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-23,8,10,6,5,8,10,12,15,19,21,18,16,17,16,16,19,18,16,19,21,22,19,16,11
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-24,11,16,10,7,6,10,12,7,10,9,7,14,18,21,24,20,12,7,7,14,16,22,23,22
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-25,27,30,37,37,32,28,23,20,18,18,19,17,13,12,12,14,18,23,27,31,29,15,20,24
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-26,16,25,13,13,12,16,21,34,41,29,26,29,21,25,26,25,27,26,28,28,29,28,30,33
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-27,33,21,11,4,4,1,1,3,15,21,23,27,27,30,32,32,25,17,15,14,19,22,23,21
PM10,10102,St. John's,NL,47.56038,-52.71147,2023-01-28,19,19,17,11,10,8,10,11,12,11,11,10,9,9,10,10,12,21,25,25,18,22,17,19
